user_id,query,budget,pref_brand,usage,laptop_id,laptop_brand,price,ram_gb,storage_gb,cpu,gpu,clicked
,lap để vừa học vừa chơi có ram 16gb cpui7,,,"['study', 'gaming']",ec6d21cf-8d6c-4b01-b30e-94a7cef6cd0e,apple,21000000,8,256,Apple M1,Integrated,0
,lap để vừa học vừa chơi có ram 16gb cpui7,,,"['study', 'gaming']",c401ca1b-3547-4855-ae95-cbe070c40cd2,apple,26000000,8,256,Apple M2,Integrated,0
,lap để vừa học vừa chơi có ram 16gb cpui7,,,"['study', 'gaming']",f6a53db3-7a78-4bca-8e19-d3a9478e8f24,apple,42000000,16,512,Apple M2 Pro,Integrated,0
,lap để vừa học vừa chơi có ram 16gb cpui7,,,"['study', 'gaming']",31916a3f-8a7e-47f0-9784-91d0cd384fe9,apple,30000000,8,512,Apple M1,Integrated,0
,lap để vừa học vừa chơi có ram 16gb cpui7,,,"['study', 'gaming']",bc6b28ae-5efe-46f2-b427-5a887474f0dc,apple,21500000,8,256,Apple M1,Integrated,0
,lap để vừa học vừa chơi có ram 16gb cpui7,,,"['study', 'gaming']",9e4749e2-b206-4fbb-b136-fae8da0a9a97,apple,29500000,16,512,Apple M2,Integrated,0
,lap để vừa học vừa chơi có ram 16gb cpui7,,,"['study', 'gaming']",966a376a-6d2c-4c8a-aa68-7eb9035893aa,apple,58000000,16,1000,Apple M2 Pro,Integrated,0
,lap để vừa học vừa chơi có ram 16gb cpui7,,,"['study', 'gaming']",8c5864cb-cc40-4104-bf83-90a1b29a0671,apple,21500000,8,256,Apple M1,Integrated,0
,lap để vừa học vừa chơi có ram 16gb cpui7,,,"['study', 'gaming']",43474679-a1ae-49be-b5ed-521f97734c31,apple,46000000,16,512,Apple M3,Integrated,0
,lap để vừa học vừa chơi có ram 16gb cpui7,,,"['study', 'gaming']",a4826d94-2984-45cb-9363-7aadb8afa11e,apple,31000000,8,512,Apple M2,Integrated,0
,lap để vừa học vừa chơi,,,study,ec6d21cf-8d6c-4b01-b30e-94a7cef6cd0e,apple,21000000,8,256,Apple M1,Integrated,0
,lap để vừa học vừa chơi,,,study,c401ca1b-3547-4855-ae95-cbe070c40cd2,apple,26000000,8,256,Apple M2,Integrated,0
,lap để vừa học vừa chơi,,,study,f6a53db3-7a78-4bca-8e19-d3a9478e8f24,apple,42000000,16,512,Apple M2 Pro,Integrated,0
,lap để vừa học vừa chơi,,,study,31916a3f-8a7e-47f0-9784-91d0cd384fe9,apple,30000000,8,512,Apple M1,Integrated,0
,lap để vừa học vừa chơi,,,study,bc6b28ae-5efe-46f2-b427-5a887474f0dc,apple,21500000,8,256,Apple M1,Integrated,0
,lap để vừa học vừa chơi,,,study,9e4749e2-b206-4fbb-b136-fae8da0a9a97,apple,29500000,16,512,Apple M2,Integrated,0
,lap để vừa học vừa chơi,,,study,966a376a-6d2c-4c8a-aa68-7eb9035893aa,apple,58000000,16,1000,Apple M2 Pro,Integrated,0
,lap để vừa học vừa chơi,,,study,8c5864cb-cc40-4104-bf83-90a1b29a0671,apple,21500000,8,256,Apple M1,Integrated,0
,lap để vừa học vừa chơi,,,study,43474679-a1ae-49be-b5ed-521f97734c31,apple,46000000,16,512,Apple M3,Integrated,0
,lap để vừa học vừa chơi,,,study,a4826d94-2984-45cb-9363-7aadb8afa11e,apple,31000000,8,512,Apple M2,Integrated,0
